"","X","cohort","task_version","sequence","SOT_trial","SOT_jitter","SOT_cueOn","SOT_cueOff","SOT_predOn","SOT_predResp","SOT_stimOn","SOT_stimOff","SOT_vasOn_1","SOT_vasOn_2","SOT_vasOn_3","SOT_vasOff_1","SOT_vasOff_2","SOT_vasOff_3","SOT_iti","predResp","predRT","predAcc","stim","targetT_1","targetT_2","targetT_3","targetT_4","targetT_5","vasYN","vasResp_1","vasResp_2","vasResp_3","vasRT_1","vasRT_2","vasRT_3","jitterDuration","stimDuration","itiDuration","trialDuration","trialValidity_1","trialValidity_2","trialValidity_3","trialValidity_4","trialSuccess","trial","condition","block_type","cue","trial_type","desired_prob","actual_prob","block_volatility","outcome","cue_prediction","blockwise_trial","blockNumber","location","expected","mu1","mu2","mu3","sa1","sa2","sa3","mu1hat","mu2hat","mu3hat","sa1hat","sa2hat","sa3hat","weight_v_1","weight_v_2","weight_v_3","weight_w_1","weight_w_2","volatility_pe1","volatility_pe2","volatility_pe3","update_ud_1","update_ud_2","update_ud_3","pweights_on_pe1","pweights_on_pe2","pweights_on_pe3","pwpe1","pwpe2","pwpe3","learn_rate1","learn_rate2","learn_rate3","burnbeta","coldbeta","warmbeta","u","predResp2"
"1",10711,1,2,1,5.06420720007736,5.84453160001431,5.10880120005459,5.81019099999685,5.97794850007631,7.6884757000953,9.44565230002627,14.556212500087,NA,NA,NA,NA,NA,NA,14.5740324000362,"cold",1.71052720001899,"Wrong","warm",38,38,38,32,32,0,NA,NA,NA,NA,NA,NA,0.108850300242638,5.11056020006072,1.16191209101273,10.6717372909716,1,0,0,0,1,1,1,3,"low-tone",1,0.82,0.821428571,0,1,1,1,1,1,"E",1,0.11483,1,0,0.22966,1.0025,0.5,0,1,0.25,0.24365,1.0025,NA,0.14365,0.0024788,NA,0.58957,0.5,-0.0032964,0,0.5,0.11483,0,NA,0.22966,4.1145,NA,0.11483,-0.013563,0.06084,0.22966,0,NA,NA,NA,1,0
"2",10712,1,2,1,15.7504761000164,16.4712242000969,15.80859530007,16.4550528000109,16.601412900025,17.8563412000658,19.6221870000008,24.7310670000734,NA,NA,NA,NA,NA,NA,24.7678482000483,"warm",1.25492830004077,"Right","warm",32,38,38,38,32,0,NA,NA,NA,NA,NA,NA,0.111392934161498,5.10888000007253,1.28112871593253,10.2985008159645,1,0,0,0,1,2,1,3,"low-tone",1,0.82,0.821428571,0,1,1,2,1,1,"E",1,0.2758,1,0,0.34153,1.005,0.52868,0.11483,1,0.24918,0.3733,1.005,NA,0.14365,0.0024788,NA,0.3848,0.47132,-0.015689,0,0.47132,0.16097,0,NA,0.34153,2.6921,NA,0.16097,-0.042235,0.092335,0.34153,0,NA,NA,NA,1,1
"3",10713,1,2,1,26.0634806000162,26.7822446000064,26.1186135000316,26.7498917001067,26.9489105000393,29.1690898000961,30.9186112000607,36.0291691001039,36.0300550000975,38.0954642000142,40.658453400014,38.0918766000541,40.6573790000984,41.7607522000326,41.7713408001,"cold",2.22017930005677,"Wrong","warm",32,32,38,38,38,1,4.6875,7.46527777777778,7.29166666666667,1.94083460001275,2.4936373999808,1.01367809996009,0.138644103427447,5.1105579000432,1.17976714055214,16.887627340636,1,1,1,1,1,3,1,3,"low-tone",1,0.82,0.821428571,0,1,1,3,1,1,"E",1,0.46288,1,0,0.43358,1.0074,0.56852,0.2758,1,0.24531,0.48518,1.0074,NA,0.14365,0.0024788,NA,0.29607,0.43148,-0.034222,0,0.43148,0.18708,0,NA,0.43358,2.0764,NA,0.18708,-0.071059,0.11696,0.43358,0,0.0729166666666667,0.046875,0.0746527777777778,1,0
"4",10714,1,2,1,42.9652442000806,43.7731423000805,43.0262317000888,43.7424596000928,43.939376900089,46.9395243000472,47.1690460999962,52.269318100065,NA,NA,NA,NA,NA,NA,52.3021797999972,"NaN",3.00014739995822,"Wrong","warm",32,38,38,38,32,0,NA,NA,NA,NA,NA,NA,0.145334894953754,5.1002720000688,1.28718118235694,10.6241167822736,0,0,0,0,0,4,1,3,"low-tone",1,0.82,0.821428571,0,1,1,4,1,1,"E",1,0.65902,1,0,0.50774,1.0099,0.6137,0.46288,1,0.23707,0.57722,1.0099,NA,0.14365,0.0024788,NA,0.24886,0.3863,-0.053722,0,0.3863,0.19614,0,NA,0.50774,1.7496,NA,0.19614,-0.093993,0.13299,0.50774,0,NA,NA,NA,1,NA
"5",10715,1,2,1,53.6089219000423,54.4667418000754,53.6681754000019,54.4508793000132,54.666760000051,55.5520852000918,57.3191302000778,62.4462955000345,NA,NA,NA,NA,NA,NA,62.4633870000253,"warm",0.885325200040825,"Right","warm",32,32,38,38,38,0,NA,NA,NA,NA,NA,NA,0.174631719142329,5.12716529995669,1.79283276712293,10.6472978671058,1,0,0,0,1,5,1,3,"low-tone",1,0.82,0.821428571,0,1,1,5,1,1,"E",1,0.85276,1,0,0.56822,1.0124,0.65904,0.65902,1,0.22471,0.65139,1.0124,NA,0.14365,0.0024788,NA,0.22052,0.34096,-0.070059,0,0.34096,0.19374,0,NA,0.56822,1.5542,NA,0.19374,-0.10889,0.14089,0.56822,0,NA,NA,NA,1,1
"6",10716,1,2,1,64.2724020000314,64.9774420000613,64.3305572000099,64.9613956999965,65.1777856000699,66.5923369000666,68.356961100013,73.4688451000256,73.4694833999965,75.4307083000895,77.5821950000245,75.4294544000877,77.5782497000182,78.7657438000897,78.7895989000099,"cold",1.41455129999667,"Right","cold",32,32,32,22,22,1,6.68402777777778,13.3680555555556,0.78125,1.86493029992562,2.08905609999783,1.12035189999733,0.169809514329252,5.11188400001265,1.4417803219104,15.9589772218888,1,1,1,1,1,6,2,3,"high-tone",1,0.82,0.821428571,0,0,1,6,1,1,"E",1,1.0379,1,0,0.61946,1.0149,0.70115,0.85276,1,0.20954,0.71186,1.0149,NA,0.14365,0.0024788,NA,0.20179,0.29885,-0.081657,0,0.29885,0.18513,0,NA,0.61946,1.4257,NA,0.18513,-0.11642,0.14259,0.61946,0,0.0078125,0.0668402777777778,0.133680555555556,1,1
"7",10717,1,2,1,80.2460282000247,81.0021692001028,80.3047452000901,80.9857758000726,81.13603100006,83.9439890000504,85.7025701000821,90.8104704000289,NA,NA,NA,NA,NA,NA,90.8475430000108,"cold",2.80795799999032,"Right","cold",22,22,32,32,32,0,NA,NA,NA,NA,NA,NA,0.108303357046745,5.10790029994678,1.59631806802805,12.1978328680141,1,0,0,0,1,7,2,3,"high-tone",1,0.82,0.821428571,0,0,1,7,1,1,"E",1,1.2118,1,0,0.66508,1.0174,0.73844,1.0379,1,0.19315,0.76311,1.0174,NA,0.14365,0.0024788,NA,0.18824,0.26156,-0.088802,0,0.26156,0.17396,0,NA,0.66508,1.3332,NA,0.17396,-0.11839,0.14031,0.66508,0,NA,NA,NA,1,1
"8",10718,1,2,1,92.4574085000204,93.1783706001006,92.5145499000791,93.1425537000177,93.3284560000757,94.5684291000944,96.3156831000233,101.424649900058,NA,NA,NA,NA,NA,NA,101.441568400012,"cold",1.23997310001869,"Right","cold",32,22,22,32,32,0,NA,NA,NA,NA,NA,NA,0.124099025337965,5.10896680003498,1.13052522798106,10.114685127973,1,0,0,0,1,8,2,3,"high-tone",1,0.82,0.821428571,0,0,1,8,1,1,"E",1,1.3741,1,0,0.70758,1.0198,0.77063,1.2118,1,0.17676,0.80872,1.0198,NA,0.14365,0.0024788,NA,0.17762,0.22937,-0.092501,0,0.22937,0.1623,0,NA,0.70758,1.261,NA,0.1623,-0.11665,0.13579,0.70758,0,NA,NA,NA,1,1
"9",10719,1,2,1,102.585722999997,103.289563700091,102.64303720009,103.273728,103.435246600071,104.952069100109,106.725342400023,111.835670500062,111.836103300098,115.165050300071,117.316508000018,115.164640700095,117.31612000009,118.509044200066,118.533951600082,"cold",1.51682250003796,"Right","cold",32,32,22,22,32,1,15.1041666666667,5.90277777777778,1.21527777777778,3.2289899000898,2.08315109997056,1.16368949995376,0.125915675265958,5.11032810003962,1.88295667679013,17.8311852768758,1,1,1,1,1,9,2,3,"high-tone",1,0.82,0.821428571,0,0,1,9,1,1,"E",1,1.5253,1,0,0.74853,1.0223,0.79805,1.3741,1,0.16117,0.85122,1.0223,NA,0.14365,0.0024788,NA,0.16875,0.20195,-0.093793,0,0.20195,0.15117,0,NA,0.74853,1.201,NA,0.15117,-0.11264,0.13023,0.74853,0,0.0121527777777778,0.151041666666667,0.0590277777777778,1,1
"10",10720,1,2,1,120.430775500019,121.21274290001,120.483355700038,121.175324300071,121.397159600048,122.048068000004,123.815355900093,128.926391000045,128.926728600054,130.58041480009,132.757453600061,130.579832000076,132.756810600054,134.658201000071,134.672690300038,"warm",0.65090839995537,"Right","warm",32,38,38,38,32,1,0.173611111111111,12.9340277777778,0,1.51031719997991,2.12067079998087,1.83013279992156,0.155655865674751,5.11103509995155,1.17563588109442,15.4175506811134,1,1,1,1,1,10,1,3,"low-tone",1,0.82,0.821428571,0,1,1,10,1,1,"E",1,1.6663,1,0,0.78889,1.0248,0.82132,1.5253,1,0.14675,0.89218,1.0248,NA,0.14365,0.0024788,NA,0.16101,0.17868,-0.093502,0,0.17868,0.14096,0,NA,0.78889,1.1486,NA,0.14096,-0.1074,0.12433,0.78889,0,0,0.00173611111111111,0.129340277777778,1,1
